# t (s)	mx ()	my ()	mz ()	B_demag.region0x (T)	B_demag.region0y (T)	B_demag.region0z (T)	m_full.region0x (A/m)	m_full.region0y (A/m)	m_full.region0z (A/m)
1.0842657634329145e-09	-0.0010132354	-0.00049065717	0.9436	6.971486e-07	3.0732645e-07	0.0001874574	0	0	0
1.0862749280518925e-09	-0.0010194676	-0.00058776146	0.94358367	7.0622326e-07	3.7242535e-07	0.00018746976	0	0	0
1.0883016113522207e-09	-0.000915048	-0.0007206568	0.94357854	6.3835705e-07	4.6294804e-07	0.00018749804	0	0	0
1.090318494648421e-09	-0.0008585412	-0.00075596356	0.9435155	6.038852e-07	4.8629977e-07	0.00018746895	0	0	0
1.0923296105144873e-09	-0.00074084767	-0.0007738353	0.94350374	5.268788e-07	4.9782784e-07	0.0001874943	0	0	0
1.0943224283471046e-09	-0.00068642333	-0.0008632957	0.94346446	4.936808e-07	5.589809e-07	0.00018748408	0	0	0
1.0963216031480626e-09	-0.00055909203	-0.000899352	0.9434431	4.1038857e-07	5.829952e-07	0.00018749658	0	0	0
1.0980061772640593e-09	-0.00048811868	-0.0008935303	0.9434484	3.6571157e-07	5.779757e-07	0.00018752922	0	0	0
1.1003244684830666e-09	-0.00038708223	-0.00096286536	0.9434511	3.022049e-07	6.252849e-07	0.00018757863	0	0	0
1.1020175347925871e-09	-0.00023080371	-0.0010938542	0.9434289	1.9842938e-07	7.1661907e-07	0.00018758317	0	0	0
1.1040204263465903e-09	-7.3104704e-05	-0.0010605749	0.94339526	9.4649096e-08	6.94793e-07	0.00018757657	0	0	0
1.1060319453746773e-09	0.00010465722	-0.0010469854	0.9433532	-2.3622533e-08	6.87447e-07	0.00018756418	0	0	0
1.1080629467269401e-09	0.00018031169	-0.0011126806	0.94336206	-7.157686e-08	7.3575666e-07	0.00018761649	0	0	0
1.110085068994417e-09	0.00029372683	-0.0010922558	0.94331944	-1.4623299e-07	7.243538e-07	0.00018759829	0	0	0
1.1120725210116284e-09	0.00045549258	-0.0010426613	0.9432826	-2.552582e-07	6.927776e-07	0.00018759046	0	0	0
1.1140869389916414e-09	0.00055450044	-0.0009990591	0.9432591	-3.2097734e-07	6.662524e-07	0.00018760187	0	0	0
1.1161160287073656e-09	0.0006863547	-0.0009111152	0.94321144	-4.1023844e-07	6.09515e-07	0.00018758548	0	0	0
1.1180858308581348e-09	0.0007894292	-0.00085112266	0.943172	-4.803677e-07	5.725492e-07	0.00018757323	0	0	0
1.1200993431068793e-09	0.0008927352	-0.00078020536	0.9431189	-5.514281e-07	5.2850373e-07	0.00018754376	0	0	0
1.122089809025708e-09	0.0009124982	-0.00060800166	0.94311124	-5.65332e-07	4.1353178e-07	0.00018757283	0	0	0
1.1241003754178846e-09	0.0009677084	-0.0005106167	0.9431179	-6.046005e-07	3.5092762e-07	0.00018762343	0	0	0
1.126125931883709e-09	0.0009464305	-0.00041573378	0.9430502	-5.913351e-07	2.9044372e-07	0.00018757179	0	0	0
1.1281313938102194e-09	0.0009337541	-0.0003088792	0.94300395	-5.8526325e-07	2.2209042e-07	0.00018755683	0	0	0
1.1301363088517537e-09	0.000927583	-0.00023975405	0.94294894	-5.8450854e-07	1.7947718e-07	0.00018751697	0	0	0
1.1321548934867194e-09	0.00090877153	-0.00011963225	0.9429747	-5.7553035e-07	1.0058693e-07	0.0001875799	0	0	0
1.1341683757112936e-09	0.0008788782	-7.413367e-05	0.94291764	-5.586661e-07	7.307153e-08	0.000187544	0	0	0
1.1361756133806053e-09	0.00087568705	3.3826516e-05	0.94287616	-5.603119e-07	1.974513e-09	0.00018752745	0	0	0
1.1381892319990292e-09	0.0008085094	3.9083454e-05	0.94282645	-5.178455e-07	2.660272e-09	0.00018750168	0	0	0
1.1401824948533685e-09	0.0008159224	4.2872187e-05	0.94279563	-5.276001e-07	4.1427484e-09	0.00018750248	0	0	0
1.1421662000719379e-09	0.0007312955	0.0001361739	0.9427592	-4.738168e-07	-5.7439138e-08	0.00018749622	0	0	0
