# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_Zeeman (J)	ext_topologicalcharge ()	Temp (K)	LastErr ()
2.600224421023645e-10	0.008241225	-0.005929437	0.7727238	0	0	0.25	4.884048e-16	-4.0733166e-16	4.40181e-16	6.640437e-16	-2.0256491e-16	-5.243661	750	3.4753816e-06
2.700699013726287e-10	0.010344364	-0.0025209924	0.77182806	0	0	0.25	4.9286894e-16	-4.0708928e-16	4.4009103e-16	6.632711e-16	-2.0233011e-16	-4.654588	750	2.7249378e-06
2.8006435455558235e-10	0.007878161	0.00071282825	0.7710016	0	0	0.25	5.0832634e-16	-4.0662545e-16	4.3936655e-16	6.623392e-16	-2.0211346e-16	-8.40912	750	7.607104e-06
2.9002978926111247e-10	0.010883224	-0.0016834307	0.77170765	0	0	0.25	4.9651716e-16	-4.0685856e-16	4.3974872e-16	6.6260873e-16	-2.0229851e-16	-5.5753684	750	2.6118735e-06
3.000764109947241e-10	0.008064988	-4.7526963e-05	0.7711085	0	0	0.25	4.8160303e-16	-4.063489e-16	4.3921305e-16	6.629767e-16	-2.0214145e-16	-7.7242746	750	3.1747759e-06
3.100406735532748e-10	0.0075067645	0.000753541	0.77173835	0	0	0.25	5.024795e-16	-4.070785e-16	4.4003105e-16	6.660883e-16	-2.0230658e-16	-6.98105	750	2.8072375e-06
3.200162540354207e-10	0.004080454	0.0008257057	0.7743073	0	0	0.25	4.9981545e-16	-4.0793673e-16	4.4105823e-16	6.6166503e-16	-2.0298004e-16	-8.2816	750	2.80716e-06
3.300799416527632e-10	0.00024086324	-0.0017612542	0.7739748	0	0	0.25	4.9528653e-16	-4.0837698e-16	4.4138744e-16	6.6184815e-16	-2.0289283e-16	-9.370936	750	3.3029946e-06
3.40121581647288e-10	0.0032327157	-0.0018251021	0.7733793	0	0	0.25	4.881394e-16	-4.072721e-16	4.4030154e-16	6.605803e-16	-2.0273674e-16	-7.67269	750	3.1663576e-06
3.5006613024562714e-10	-0.0001382705	7.994566e-05	0.77189523	0	0	0.25	5.0081755e-16	-4.0647838e-16	4.3933346e-16	6.6600554e-16	-2.0234769e-16	-6.1697283	750	2.318536e-06
3.600250372150885e-10	-0.0003005573	0.0029996294	0.77360004	0	0	0.25	5.051537e-16	-4.0812641e-16	4.4107827e-16	6.6271445e-16	-2.0279462e-16	-7.0513396	750	2.1075812e-06
3.700509212562651e-10	-0.00062239176	0.004194009	0.7720762	0	0	0.25	4.961001e-16	-4.0666592e-16	4.3963308e-16	6.620366e-16	-2.0239516e-16	-5.3692336	750	4.390379e-06
3.8013023949566513e-10	0.00065809337	0.0030797236	0.77180487	0	0	0.25	4.9154714e-16	-4.0575395e-16	4.3883043e-16	6.665922e-16	-2.0232402e-16	-5.4546766	750	3.3602396e-06
3.900952284085738e-10	0.0019206952	0.0022509904	0.7721232	0	0	0.25	4.929875e-16	-4.0617276e-16	4.393711e-16	6.651981e-16	-2.0240748e-16	-8.2054205	750	3.6340352e-06
